"transab_cat","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","2002","35-65 y.","Urban Area","3283","0.43168601700522","0.421334396774612","0.442037637235828"
"No transfer dependency","2002","35-65 y.","Rural Area","1317","0.36679245032789","0.352379604433178","0.381205296222601"
"No transfer dependency","2002","66 and older","Urban Area","2082","0.872797555700241","0.859475363509941","0.886119747890542"
"No transfer dependency","2002","66 and older","Rural Area","1022","0.853665299265261","0.833848661812963","0.87348193671756"
"Very low transfer dependency","2002","16-34 y.","Urban Area","2324","0.517974726609672","0.502516894121017","0.533432559098326"
"Very low transfer dependency","2002","16-34 y.","Rural Area","1287","0.567782221909046","0.546216528591067","0.589347915227025"
"Very low transfer dependency","2002","35-65 y.","Urban Area","4818","0.471611169295775","0.461178413914313","0.482043924677238"
"Very low transfer dependency","2002","35-65 y.","Rural Area","2391","0.485467186183801","0.47052022229023","0.500414150077372"
"Very low transfer dependency","2002","66 and older","Urban Area","259","0.0977510546378758","0.0858771071753972","0.109625002100354"
"Very low transfer dependency","2002","66 and older","Rural Area","171","0.122857831270327","0.104452276783064","0.14126338575759"
"Low transfer dependency","2002","16-34 y.","Urban Area","307","0.0785740380110855","0.0702500937079935","0.0868979823141775"
"Low transfer dependency","2002","16-34 y.","Rural Area","213","0.106994101672024","0.0935377199395896","0.120450483404458"
"Low transfer dependency","2002","35-65 y.","Urban Area","363","0.0463582819655028","0.0419640148173266","0.050752549113679"
"Low transfer dependency","2002","35-65 y.","Rural Area","384","0.0913044079491203","0.0826900762601139","0.0999187396381267"
"Low transfer dependency","2002","66 and older","Urban Area","42","0.0171130571512709","0.0119276031172894","0.0222985111852525"
"Low transfer dependency","2002","66 and older","Rural Area","18","","",""
"High transfer dependency","2002","16-34 y.","Urban Area","108","0.0402879948474864","0.0342049965189849","0.0463709931759878"
"High transfer dependency","2002","16-34 y.","Rural Area","77","0.0418969135815168","0.033174868004119","0.0506189591589147"
"High transfer dependency","2002","35-65 y.","Urban Area","151","0.0215451948857307","0.0185107743577763","0.0245796154136852"
"High transfer dependency","2002","35-65 y.","Rural Area","100","0.0274328124485247","0.0225478471749582","0.0323177777220913"
"High transfer dependency","2002","66 and older","Urban Area","17","","",""
"High transfer dependency","2002","66 and older","Rural Area","6","","",""
"Very high transfer dependency","2002","16-34 y.","Urban Area","63","0.0191374412569079","0.0148990072960975","0.0233758752177184"
"Very high transfer dependency","2002","16-34 y.","Rural Area","39","0.0227411766537728","0.0162513591761295","0.0292309941314162"
"Very high transfer dependency","2002","35-65 y.","Urban Area","79","0.0104428345045418","0.00831831946015249","0.0125673495489311"
"Very high transfer dependency","2002","35-65 y.","Rural Area","60","0.0166989804054948","0.0128667224960608","0.0205312383149288"
"Very high transfer dependency","2002","66 and older","Urban Area","1","","",""
"Very high transfer dependency","2002","66 and older","Rural Area","1","","",""
"Complete transfer dependency","2002","16-34 y.","Urban Area","45","0.0160022797663877","0.0121203526026403","0.019884206930135"
"Complete transfer dependency","2002","16-34 y.","Rural Area","20","","",""
"Complete transfer dependency","2002","35-65 y.","Urban Area","101","0.0183565023432296","0.0155510555709398","0.0211619491155194"
"Complete transfer dependency","2002","35-65 y.","Rural Area","43","0.0123041626851694","0.00900727500994536","0.0156010503603934"
"Complete transfer dependency","2002","66 and older","Urban Area","2","","",""
"Complete transfer dependency","2002","66 and older","Rural Area","4","","",""
"No transfer dependency","2003","16-34 y.","Urban Area","1026","0.298454880898471","0.284008489322818","0.312901272474125"
"No transfer dependency","2003","16-34 y.","Rural Area","377","0.239012197812694","0.219830612879575","0.258193782745813"
"No transfer dependency","2003","35-65 y.","Urban Area","3085","0.42537659734917","0.414825205692306","0.435927989006034"
"No transfer dependency","2003","35-65 y.","Rural Area","1242","0.36002431960112","0.345253886100754","0.374794753101485"
"No transfer dependency","2003","66 and older","Urban Area","2111","0.864890403658604","0.851359976874905","0.878420830442304"
"No transfer dependency","2003","66 and older","Rural Area","1025","0.832740480062789","0.811993122680013","0.853487837445566"
"Very low transfer dependency","2003","16-34 y.","Urban Area","2255","0.532372327148177","0.516619805905118","0.548124848391236"
"Very low transfer dependency","2003","16-34 y.","Rural Area","1145","0.561734785326245","0.539418609796184","0.584050960856306"
"Very low transfer dependency","2003","35-65 y.","Urban Area","4617","0.473154447755249","0.462498933482828","0.483809962027671"
"Very low transfer dependency","2003","35-65 y.","Rural Area","2221","0.481712708844892","0.466337362085993","0.497088055603791"
"Very low transfer dependency","2003","66 and older","Urban Area","281","0.105893554527422","0.0937143973806922","0.118072711674152"
"Very low transfer dependency","2003","66 and older","Rural Area","181","0.133056011524976","0.114174998279516","0.151937024770437"
"Low transfer dependency","2003","16-34 y.","Urban Area","309","0.0796650763835816","0.0711163941219067","0.0882137586452565"
"Low transfer dependency","2003","16-34 y.","Rural Area","229","0.115087990506994","0.100734727040257","0.129441253973731"
"Low transfer dependency","2003","35-65 y.","Urban Area","419","0.0497980063633359","0.0451555776945213","0.0544404350321506"
"Low transfer dependency","2003","35-65 y.","Rural Area","372","0.0941526538801014","0.0851661787176337","0.103139129042569"
"Low transfer dependency","2003","66 and older","Urban Area","50","0.0224507638675063","0.0165870504096233","0.0283144773253893"
"Low transfer dependency","2003","66 and older","Rural Area","26","","",""
"High transfer dependency","2003","16-34 y.","Urban Area","129","0.0361178224100126","0.0302271483929458","0.0420084964270795"
"High transfer dependency","2003","16-34 y.","Rural Area","68","0.039022955516336","0.0303132756000723","0.0477326354325996"
"High transfer dependency","2003","35-65 y.","Urban Area","114","0.0154806801449745","0.01284593609182","0.018115424198129"
"High transfer dependency","2003","35-65 y.","Rural Area","112","0.0299023405945218","0.0246614401800533","0.0351432410089902"
"High transfer dependency","2003","66 and older","Urban Area","7","","",""
"High transfer dependency","2003","66 and older","Rural Area","8","","",""
"Very high transfer dependency","2003","16-34 y.","Urban Area","82","0.0309726368104809","0.0255031151545444","0.0364421584664173"
"Very high transfer dependency","2003","16-34 y.","Rural Area","45","0.0239593062769169","0.0170813930759667","0.0308372194778671"
"Very high transfer dependency","2003","35-65 y.","Urban Area","95","0.0163142349659321","0.0136106324462451","0.0190178374856191"
"Very high transfer dependency","2003","35-65 y.","Rural Area","68","0.0206579850522869","0.0162811844662599","0.0250347856383138"
"Very high transfer dependency","2003","66 and older","Urban Area","1","","",""
"Very high transfer dependency","2003","66 and older","Rural Area","1","","",""
"Complete transfer dependency","2003","16-34 y.","Urban Area","53","0.0224172563492764","0.0177435628461362","0.0270909498524166"
"Complete transfer dependency","2003","16-34 y.","Rural Area","35","0.0211827645608144","0.0147064530188687","0.0276590761027602"
"Complete transfer dependency","2003","35-65 y.","Urban Area","104","0.0198760334213379","0.0168972655816789","0.022854801260997"
"Complete transfer dependency","2003","35-65 y.","Rural Area","42","0.0135499920270782","0.00999242863640082","0.0171075554177556"
"Complete transfer dependency","2003","66 and older","Urban Area","2","","",""
"Complete transfer dependency","2003","66 and older","Rural Area","2","","",""
"No transfer dependency","2004","16-34 y.","Urban Area","971","0.287049989153718","0.272413956617232","0.301686021690204"
"No transfer dependency","2004","16-34 y.","Rural Area","356","0.239264011031419","0.219743745212522","0.258784276850317"
"No transfer dependency","2004","35-65 y.","Urban Area","2846","0.407984942871491","0.39729080455373","0.418679081189252"
"No transfer dependency","2004","35-65 y.","Rural Area","1206","0.36833638227526","0.353257754869547","0.383415009680973"
"No transfer dependency","2004","66 and older","Urban Area","2164","0.856978815020776","0.843301787768629","0.870655842272923"
"No transfer dependency","2004","66 and older","Rural Area","1040","0.822072507380145","0.801194058823015","0.842950955937274"
"Very low transfer dependency","2004","16-34 y.","Urban Area","2135","0.538428270909714","0.522299599771212","0.554556942048215"
"Very low transfer dependency","2004","16-34 y.","Rural Area","1076","0.514106857185334","0.491238912130619","0.53697480224005"
"Very low transfer dependency","2004","35-65 y.","Urban Area","4533","0.486103044742299","0.475227286477246","0.496978803007353"
"Very low transfer dependency","2004","35-65 y.","Rural Area","2147","0.471254207496287","0.45564978675253","0.486858628240044"
"Very low transfer dependency","2004","66 and older","Urban Area","292","0.116061470105352","0.1035484670889","0.128574473121804"
"Very low transfer dependency","2004","66 and older","Rural Area","213","0.143586139361632","0.124442710205311","0.162729568517953"
"Low transfer dependency","2004","16-34 y.","Urban Area","305","0.0908807917199372","0.081581250436917","0.100180333002957"
"Low transfer dependency","2004","16-34 y.","Rural Area","257","0.148483906622262","0.132214707313201","0.164753105931323"
"Low transfer dependency","2004","35-65 y.","Urban Area","396","0.0513062080507226","0.0465054994954468","0.0561069166059985"
"Low transfer dependency","2004","35-65 y.","Rural Area","353","0.0890735883366062","0.0801690237066961","0.0979781529665163"
"Low transfer dependency","2004","66 and older","Urban Area","45","0.0189050896693327","0.0135846029262253","0.0242255764124401"
"Low transfer dependency","2004","66 and older","Rural Area","32","0.0294444378821437","0.0202158879236115","0.0386729878406759"
"High transfer dependency","2004","16-34 y.","Urban Area","124","0.0351135619046204","0.0291584407263005","0.0410686830829403"
"High transfer dependency","2004","16-34 y.","Rural Area","65","0.043864979572","0.0344947844378291","0.053235174706171"
"High transfer dependency","2004","35-65 y.","Urban Area","131","0.0175763510034686","0.0147169760040511","0.020435726002886"
"High transfer dependency","2004","35-65 y.","Rural Area","105","0.0325113775444224","0.0269671992522196","0.0380555558366251"
"High transfer dependency","2004","66 and older","Urban Area","12","","",""
"High transfer dependency","2004","66 and older","Rural Area","3","","",""
"Very high transfer dependency","2004","16-34 y.","Urban Area","90","0.0320250660145491","0.0263287754888319","0.0377213565402664"
"Very high transfer dependency","2004","16-34 y.","Rural Area","59","0.0383988630681324","0.029606882416424","0.0471908437198407"
"Very high transfer dependency","2004","35-65 y.","Urban Area","101","0.0184314618889089","0.0155046314761328","0.0213582923016849"
"Very high transfer dependency","2004","35-65 y.","Rural Area","80","0.0230425872327693","0.0183522938893129","0.0277328805762257"
"Very high transfer dependency","2004","66 and older","Urban Area","2","","",""
"Very high transfer dependency","2004","66 and older","Rural Area","1","","",""
"Complete transfer dependency","2004","16-34 y.","Urban Area","45","0.0165023202974619","0.0123806406398402","0.0206239999550837"
"Complete transfer dependency","2004","16-34 y.","Rural Area","22","","",""
"Complete transfer dependency","2004","35-65 y.","Urban Area","106","0.01859799144311","0.0156582181101093","0.0215377647761106"
"Complete transfer dependency","2004","35-65 y.","Rural Area","40","0.0157818571146549","0.0118858359642469","0.0196778782650629"
"Complete transfer dependency","2004","66 and older","Urban Area","2","","",""
"Complete transfer dependency","2004","66 and older","Rural Area","","","",""
"No transfer dependency","2005","16-34 y.","Urban Area","916","0.279387125841388","0.264487916535622","0.294286335147155"
"No transfer dependency","2005","16-34 y.","Rural Area","331","0.233705239818437","0.213740674995131","0.253669804641743"
"No transfer dependency","2005","35-65 y.","Urban Area","2712","0.395779470521624","0.384849744103542","0.406709196939706"
"No transfer dependency","2005","35-65 y.","Rural Area","1206","0.363839414113835","0.348469850576075","0.379208977651594"
"No transfer dependency","2005","66 and older","Urban Area","2173","0.859140244896781","0.845587492170632","0.872692997622929"
"No transfer dependency","2005","66 and older","Rural Area","1045","0.827877897222328","0.807133252524914","0.848622541919741"
"Very low transfer dependency","2005","16-34 y.","Urban Area","2008","0.542325692483737","0.52578257423186","0.558868810735613"
"Very low transfer dependency","2005","16-34 y.","Rural Area","960","0.489637847903541","0.466054556594209","0.513221139212874"
"Very low transfer dependency","2005","35-65 y.","Urban Area","4247","0.49450851101601","0.48333399479396","0.505683027238059"
"Very low transfer dependency","2005","35-65 y.","Rural Area","1971","0.462763915031312","0.446835021306384","0.478692808756239"
"Very low transfer dependency","2005","66 and older","Urban Area","296","0.113151431630152","0.100810248987851","0.125492614272452"
"Very low transfer dependency","2005","66 and older","Rural Area","180","0.128957195970356","0.110539000632731","0.147375391307981"
"Low transfer dependency","2005","16-34 y.","Urban Area","304","0.0897692254209139","0.0802774268314056","0.0992610240104221"
"Low transfer dependency","2005","16-34 y.","Rural Area","249","0.158457255988559","0.141229772169124","0.175684739807993"
"Low transfer dependency","2005","35-65 y.","Urban Area","397","0.0490929579577119","0.0442638873774057","0.0539220285380181"
"Low transfer dependency","2005","35-65 y.","Rural Area","357","0.105159264234309","0.0953594029993623","0.114959125469256"
"Low transfer dependency","2005","66 and older","Urban Area","44","0.0201630181872244","0.0146871031284036","0.0256389332460452"
"Low transfer dependency","2005","66 and older","Rural Area","37","0.033431299977957","0.0235526515096805","0.0433099484462335"
"High transfer dependency","2005","16-34 y.","Urban Area","110","0.03888868979017","0.0324690964537982","0.0453082831265419"
"High transfer dependency","2005","16-34 y.","Rural Area","88","0.0509829310952462","0.0406058046832348","0.0613600575072576"
"High transfer dependency","2005","35-65 y.","Urban Area","141","0.0231600752783977","0.0197983160541928","0.0265218345026026"
"High transfer dependency","2005","35-65 y.","Rural Area","110","0.0268168936325544","0.0216560012979017","0.0319777859672071"
"High transfer dependency","2005","66 and older","Urban Area","14","","",""
"High transfer dependency","2005","66 and older","Rural Area","7","","",""
"Very high transfer dependency","2005","16-34 y.","Urban Area","89","0.0314248892939301","0.0256317689762235","0.0372180096116367"
"Very high transfer dependency","2005","16-34 y.","Rural Area","75","0.0545971826045275","0.0438789973898683","0.0653153678191867"
"Very high transfer dependency","2005","35-65 y.","Urban Area","99","0.0198719386705476","0.0167527154740924","0.0229911618670027"
"Very high transfer dependency","2005","35-65 y.","Rural Area","75","0.0237813586082165","0.0189137554657518","0.0286489617506811"
"Very high transfer dependency","2005","66 and older","Urban Area","4","","",""
"Very high transfer dependency","2005","66 and older","Rural Area","3","","",""
"Complete transfer dependency","2005","16-34 y.","Urban Area","57","0.0182043771698611","0.0137651489143651","0.0226436054253572"
"Complete transfer dependency","2005","16-34 y.","Rural Area","23","","",""
"Complete transfer dependency","2005","35-65 y.","Urban Area","94","0.017587046555709","0.0146492046740165","0.0205248884374015"
"Complete transfer dependency","2005","35-65 y.","Rural Area","45","0.0176391543797735","0.0134338475704065","0.0218444611891404"
"Complete transfer dependency","2005","66 and older","Urban Area","","","",""
"Complete transfer dependency","2005","66 and older","Rural Area","","","",""
"No transfer dependency","2006","16-34 y.","Urban Area","900","0.280662383711455","0.265837859890579","0.295486907532331"
"No transfer dependency","2006","16-34 y.","Rural Area","323","0.229003424424103","0.209548645445781","0.248458203402426"
"No transfer dependency","2006","35-65 y.","Urban Area","3015","0.406069136695458","0.395409787851261","0.416728485539654"
"No transfer dependency","2006","35-65 y.","Rural Area","1338","0.360177599284725","0.345434833841009","0.37492036472844"
"No transfer dependency","2006","66 and older","Urban Area","2550","0.857621165680021","0.845002826948811","0.87023950441123"
"No transfer dependency","2006","66 and older","Rural Area","1308","0.854700732344246","0.837031195551526","0.872370269136966"
"Very low transfer dependency","2006","16-34 y.","Urban Area","1998","0.508197296527945","0.491702996390373","0.524691596665517"
"Very low transfer dependency","2006","16-34 y.","Rural Area","1022","0.496519636451001","0.473370298704837","0.519668974197165"
"Very low transfer dependency","2006","35-65 y.","Urban Area","4326","0.473778797716942","0.462941157747727","0.484616437686158"
"Very low transfer dependency","2006","35-65 y.","Rural Area","2144","0.482386440040642","0.467040579253021","0.497732300828263"
"Very low transfer dependency","2006","66 and older","Urban Area","323","0.10784360861511","0.0966427988526551","0.119044418377565"
"Very low transfer dependency","2006","66 and older","Rural Area","178","0.112352067189414","0.096517823638604","0.128186310740223"
"Low transfer dependency","2006","16-34 y.","Urban Area","306","0.100353155791239","0.0904397288713293","0.11026658271115"
"Low transfer dependency","2006","16-34 y.","Rural Area","224","0.13037106568686","0.114781404139331","0.145960727234388"
"Low transfer dependency","2006","35-65 y.","Urban Area","416","0.0555327318313647","0.0505618812105087","0.0605035824522207"
"Low transfer dependency","2006","35-65 y.","Rural Area","326","0.0747612064504789","0.0666840972705173","0.0828383156304405"
"Low transfer dependency","2006","66 and older","Urban Area","57","0.024165335216415","0.018620147499853","0.0297105229329771"
"Low transfer dependency","2006","66 and older","Rural Area","25","","",""
"High transfer dependency","2006","16-34 y.","Urban Area","157","0.0498286423985115","0.042649662180844","0.0570076226161789"
"High transfer dependency","2006","16-34 y.","Rural Area","108","0.066941455400994","0.0553701831818031","0.0785127276201849"
"High transfer dependency","2006","35-65 y.","Urban Area","159","0.0236255203006844","0.020328955341452","0.0269220852599168"
"High transfer dependency","2006","35-65 y.","Rural Area","115","0.0316575550754844","0.0262805053122506","0.0370346048387183"
"High transfer dependency","2006","66 and older","Urban Area","7","","",""
"High transfer dependency","2006","66 and older","Rural Area","12","","",""
"Very high transfer dependency","2006","16-34 y.","Urban Area","110","0.0416921968974636","0.035097388775652","0.0482870050192752"
"Very high transfer dependency","2006","16-34 y.","Rural Area","83","0.0504320134465455","0.0403000112737663","0.0605640156193247"
"Very high transfer dependency","2006","35-65 y.","Urban Area","125","0.0185419240235143","0.0156138907168714","0.0214699573301572"
"Very high transfer dependency","2006","35-65 y.","Rural Area","102","0.0349145319156947","0.029277157423188","0.0405519064082015"
"Very high transfer dependency","2006","66 and older","Urban Area","4","","",""
"Very high transfer dependency","2006","66 and older","Rural Area","4","","",""
"Complete transfer dependency","2006","16-34 y.","Urban Area","58","0.0192663246733852","0.0147311163282858","0.0238015330184846"
"Complete transfer dependency","2006","16-34 y.","Rural Area","32","0.0267324045904964","0.0192642339420151","0.0342005752389777"
"Complete transfer dependency","2006","35-65 y.","Urban Area","113","0.0224518894320364","0.0192363173072988","0.025667461556774"
"Complete transfer dependency","2006","35-65 y.","Rural Area","48","0.0161026672329752","0.0122370870454844","0.0199682474204661"
"Complete transfer dependency","2006","66 and older","Urban Area","5","","",""
"Complete transfer dependency","2006","66 and older","Rural Area","1","","",""
"No transfer dependency","2007","16-34 y.","Urban Area","836","0.283814434592526","0.268385313384879","0.299243555800172"
"No transfer dependency","2007","16-34 y.","Rural Area","334","0.246567848355462","0.226018642822538","0.267117053888386"
"No transfer dependency","2007","35-65 y.","Urban Area","2718","0.397384850035616","0.386322395679998","0.408447304391234"
"No transfer dependency","2007","35-65 y.","Rural Area","1270","0.37251784075437","0.357147857799509","0.387887823709231"
"No transfer dependency","2007","66 and older","Urban Area","2500","0.862657348036234","0.850112343457186","0.875202352615282"
"No transfer dependency","2007","66 and older","Rural Area","1286","0.843897339386521","0.825523613368918","0.862271065404124"
"Very low transfer dependency","2007","16-34 y.","Urban Area","1877","0.502508326110714","0.485397313611738","0.51961933860969"
"Very low transfer dependency","2007","16-34 y.","Rural Area","960","0.50402728663555","0.480189789442452","0.527864783828648"
"Very low transfer dependency","2007","35-65 y.","Urban Area","4058","0.481468361031032","0.470173072662832","0.492763649399231"
"Very low transfer dependency","2007","35-65 y.","Rural Area","1980","0.472412630368455","0.456541527686966","0.488283733049943"
"Very low transfer dependency","2007","66 and older","Urban Area","315","0.104959913297852","0.0937891738625722","0.116130652733133"
"Very low transfer dependency","2007","66 and older","Rural Area","166","0.124015122654146","0.10732986557211","0.140700379736181"
"Low transfer dependency","2007","16-34 y.","Urban Area","267","0.0887531529235396","0.0790207275217141","0.0984855783253651"
"Low transfer dependency","2007","16-34 y.","Rural Area","232","0.138226491969396","0.121771527402374","0.154681456536418"
"Low transfer dependency","2007","35-65 y.","Urban Area","346","0.0544254314270019","0.0492971169654355","0.0595537458885683"
"Low transfer dependency","2007","35-65 y.","Rural Area","303","0.0753488161506507","0.0669575723785952","0.0837400599227062"
"Low transfer dependency","2007","66 and older","Urban Area","56","0.0230804778630252","0.0176077892395186","0.0285531664865317"
"Low transfer dependency","2007","66 and older","Rural Area","33","0.0197942013599731","0.0127428086840221","0.0268455940359242"
"High transfer dependency","2007","16-34 y.","Urban Area","141","0.0573279976344537","0.0493723624478097","0.0652836328210977"
"High transfer dependency","2007","16-34 y.","Rural Area","64","0.0470491463137909","0.0369539245338987","0.057144368093683"
"High transfer dependency","2007","35-65 y.","Urban Area","151","0.0243192441277128","0.0208370360255771","0.0278014522298485"
"High transfer dependency","2007","35-65 y.","Rural Area","105","0.0302602664375555","0.0248144484098045","0.0357060844653064"
"High transfer dependency","2007","66 and older","Urban Area","16","","",""
"High transfer dependency","2007","66 and older","Rural Area","11","","",""
"Very high transfer dependency","2007","16-34 y.","Urban Area","107","0.043398360464692","0.0364254612026596","0.0503712597267243"
"Very high transfer dependency","2007","16-34 y.","Rural Area","64","0.039287519611365","0.0300250081069662","0.0485500311157639"
"Very high transfer dependency","2007","35-65 y.","Urban Area","134","0.0227779370766928","0.0194052220923359","0.0261506520610497"
"Very high transfer dependency","2007","35-65 y.","Rural Area","91","0.0298743239194476","0.0244622689553558","0.0352863788835395"
"Very high transfer dependency","2007","66 and older","Urban Area","3","","",""
"Very high transfer dependency","2007","66 and older","Rural Area","3","","",""
"Complete transfer dependency","2007","16-34 y.","Urban Area","52","0.0241977282740751","0.0189390163638974","0.0294564401842527"
"Complete transfer dependency","2007","16-34 y.","Rural Area","36","0.0248417071144356","0.0174212097276809","0.0322622045011903"
"Complete transfer dependency","2007","35-65 y.","Urban Area","110","0.019624176301945","0.0164885966982246","0.0227597559056654"
"Complete transfer dependency","2007","35-65 y.","Rural Area","52","0.0195861223695214","0.0151807957539287","0.0239914489851141"
"Complete transfer dependency","2007","66 and older","Urban Area","2","","",""
"Complete transfer dependency","2007","66 and older","Rural Area","","","",""
"No transfer dependency","2008","16-34 y.","Urban Area","801","0.288278961472715","0.272121322097252","0.304436600848178"
"No transfer dependency","2008","16-34 y.","Rural Area","319","0.252640721048905","0.230709449524141","0.274571992573669"
"No transfer dependency","2008","35-65 y.","Urban Area","2544","0.405834109831444","0.39430678103445","0.417361438628438"
"No transfer dependency","2008","35-65 y.","Rural Area","1225","0.383384938987574","0.367440216899412","0.399329661075736"
"No transfer dependency","2008","66 and older","Urban Area","2481","0.86398436735804","0.851427399799648","0.876541334916431"
"No transfer dependency","2008","66 and older","Rural Area","1260","0.854914742932023","0.836923248818766","0.872906237045281"
"Very low transfer dependency","2008","16-34 y.","Urban Area","1724","0.528141913817126","0.510334635238642","0.545949192395609"
"Very low transfer dependency","2008","16-34 y.","Rural Area","865","0.506215047542311","0.480981176970421","0.531448918114201"
"Very low transfer dependency","2008","35-65 y.","Urban Area","3794","0.479470228924148","0.467742763544333","0.491197694303964"
"Very low transfer dependency","2008","35-65 y.","Rural Area","1894","0.476272763795486","0.459894313046433","0.492651214544538"
"Very low transfer dependency","2008","66 and older","Urban Area","304","0.0986114421051446","0.0876905757490428","0.109532308461246"
"Very low transfer dependency","2008","66 and older","Rural Area","167","0.111774106726471","0.0956777901642096","0.127870423288732"
"Low transfer dependency","2008","16-34 y.","Urban Area","257","0.0820351017391495","0.0722463022560911","0.091823901222208"
"Low transfer dependency","2008","16-34 y.","Rural Area","173","0.142902176511222","0.125238461948017","0.160565891074428"
"Low transfer dependency","2008","35-65 y.","Urban Area","305","0.0472504455656866","0.0422697169282621","0.0522311742031111"
"Low transfer dependency","2008","35-65 y.","Rural Area","229","0.064208823019839","0.0561702456972226","0.0722474003424553"
"Low transfer dependency","2008","66 and older","Urban Area","59","0.0248956309610465","0.0191884119719186","0.0306028499501744"
"Low transfer dependency","2008","66 and older","Rural Area","37","0.0278226019890973","0.0194209281546716","0.036224275823523"
"High transfer dependency","2008","16-34 y.","Urban Area","116","0.0491934118514779","0.041478764156873","0.0569080595460828"
"High transfer dependency","2008","16-34 y.","Rural Area","50","0.0346235463363347","0.0253960996318386","0.0438509930408309"
"High transfer dependency","2008","35-65 y.","Urban Area","125","0.0242351323754917","0.0206252268479275","0.027845037903056"
"High transfer dependency","2008","35-65 y.","Rural Area","84","0.028539435386644","0.0230789953515557","0.0339998754217322"
"High transfer dependency","2008","66 and older","Urban Area","12","","",""
"High transfer dependency","2008","66 and older","Rural Area","7","","",""
"Very high transfer dependency","2008","16-34 y.","Urban Area","76","0.0305412273554526","0.0244032617574788","0.0366791929534264"
"Very high transfer dependency","2008","16-34 y.","Rural Area","78","0.045301714177809","0.0348053761248748","0.0557980522307433"
"Very high transfer dependency","2008","35-65 y.","Urban Area","104","0.0195999573358683","0.0163458657389347","0.0228540489328019"
"Very high transfer dependency","2008","35-65 y.","Rural Area","93","0.0256663990031506","0.0204804448075448","0.0308523531987564"
"Very high transfer dependency","2008","66 and older","Urban Area","4","","",""
"Very high transfer dependency","2008","66 and older","Rural Area","1","","",""
"Complete transfer dependency","2008","16-34 y.","Urban Area","45","0.0218093837640789","0.0165992367496552","0.0270195307785026"
"Complete transfer dependency","2008","16-34 y.","Rural Area","23","","",""
"Complete transfer dependency","2008","35-65 y.","Urban Area","99","0.0236101259673604","0.020045931964391","0.0271743199703298"
"Complete transfer dependency","2008","35-65 y.","Rural Area","47","0.0219276398073066","0.0171250687050537","0.0267302109095594"
"Complete transfer dependency","2008","66 and older","Urban Area","3","","",""
"Complete transfer dependency","2008","66 and older","Rural Area","","","",""
"No transfer dependency","2009","16-34 y.","Urban Area","787","0.302760052142657","0.285708486924985","0.319811617360329"
"No transfer dependency","2009","16-34 y.","Rural Area","318","0.265435542092898","0.242222332970531","0.288648751215265"
"No transfer dependency","2009","35-65 y.","Urban Area","2415","0.412435662937593","0.400340187357613","0.424531138517573"
"No transfer dependency","2009","35-65 y.","Rural Area","1270","0.429526232579181","0.41289235035649","0.446160114801873"
"No transfer dependency","2009","66 and older","Urban Area","2402","0.86484909543768","0.852085056201029","0.877613134674331"
"No transfer dependency","2009","66 and older","Rural Area","1251","0.869734352805619","0.852367417426173","0.887101288185064"
"Very low transfer dependency","2009","16-34 y.","Urban Area","1582","0.524919958256908","0.506386614988313","0.543453301525503"
"Very low transfer dependency","2009","16-34 y.","Rural Area","784","0.511554450701741","0.485276305804528","0.537832595598953"
"Very low transfer dependency","2009","35-65 y.","Urban Area","3410","0.478297716165204","0.46602395545688","0.490571476873528"
"Very low transfer dependency","2009","35-65 y.","Rural Area","1715","0.438982277284915","0.422306245261861","0.455658309307969"
"Very low transfer dependency","2009","66 and older","Urban Area","279","0.0975266097884397","0.0864505000256006","0.108602719551279"
"Very low transfer dependency","2009","66 and older","Rural Area","145","0.0995301910921618","0.08408380370291","0.114976578481414"
"Low transfer dependency","2009","16-34 y.","Urban Area","217","0.0903777379398855","0.0797366726509136","0.101018803228857"
"Low transfer dependency","2009","16-34 y.","Rural Area","162","0.117979615649577","0.101021269704136","0.134937961595018"
"Low transfer dependency","2009","35-65 y.","Urban Area","287","0.0550742559595399","0.0494690665939968","0.0606794453250831"
"Low transfer dependency","2009","35-65 y.","Rural Area","237","0.0706755853698766","0.0620636786541","0.0792874920856533"
"Low transfer dependency","2009","66 and older","Urban Area","56","0.0260254089714434","0.0200813777840428","0.0319694401588441"
"Low transfer dependency","2009","66 and older","Rural Area","43","0.0271499198529484","0.0187645511940382","0.0355352885118585"
"High transfer dependency","2009","16-34 y.","Urban Area","95","0.0303208837015848","0.0239571971141594","0.0366845702890101"
"High transfer dependency","2009","16-34 y.","Rural Area","48","0.03588090824202","0.0261031848695513","0.0456586316144886"
"High transfer dependency","2009","35-65 y.","Urban Area","104","0.0198231100719495","0.0163981520335053","0.0232480681103937"
"High transfer dependency","2009","35-65 y.","Rural Area","78","0.0291766814772704","0.0235212078292783","0.0348321551252625"
"High transfer dependency","2009","66 and older","Urban Area","10","","",""
"High transfer dependency","2009","66 and older","Rural Area","4","","",""
"Very high transfer dependency","2009","16-34 y.","Urban Area","74","0.0356647345862951","0.0287820580972","0.0425474110753902"
"Very high transfer dependency","2009","16-34 y.","Rural Area","46","0.0351652352174438","0.0254819231996747","0.0448485472352129"
"Very high transfer dependency","2009","35-65 y.","Urban Area","78","0.0139104934690587","0.0110327865143063","0.0167882004238111"
"Very high transfer dependency","2009","35-65 y.","Rural Area","65","0.01793588457362","0.0134761166695704","0.0223956524776695"
"Very high transfer dependency","2009","66 and older","Urban Area","8","","",""
